[DEBUG] [2016-01-29 17:33:36][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='784693856', data='1580201340'}
[DEBUG] [2016-01-29 17:33:38][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='297742187', data='-1330884583'}
[DEBUG] [2016-01-29 17:33:38][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='297742187', data='-1330884583'}
[DEBUG] [2016-01-29 17:33:40][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='-186436853', data='666013468'}
[DEBUG] [2016-01-29 17:33:40][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-186436853', data='666013468'}
[DEBUG] [2016-01-29 17:34:43][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='719358047', data='-842906378'}
[DEBUG] [2016-01-29 17:34:45][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='1550889585', data='1632887073'}
[DEBUG] [2016-01-29 17:34:45][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='1550889585', data='1632887073'}
[DEBUG] [2016-01-29 17:34:46][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='-1714953272', data='1032416030'}
[DEBUG] [2016-01-29 17:34:46][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='-93557942', data='-516012234'}
[DEBUG] [2016-01-29 17:34:46][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-1714953272', data='1032416030'}
[DEBUG] [2016-01-29 17:34:46][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-93557942', data='-516012234'}
[DEBUG] [2016-01-29 17:34:48][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='1375520980', data='1048530387'}
[DEBUG] [2016-01-29 17:34:48][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='1375520980', data='1048530387'}
[DEBUG] [2016-01-29 17:34:50][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='-166770828', data='1761868139'}
[DEBUG] [2016-01-29 17:34:50][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-166770828', data='1761868139'}
[DEBUG] [2016-01-29 17:34:52][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='-811514899', data='565409469'}
[DEBUG] [2016-01-29 17:34:52][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='1220988181', data='-132897225'}
[DEBUG] [2016-01-29 17:34:52][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-811514899', data='565409469'}
[DEBUG] [2016-01-29 17:34:52][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='678367994', data='-1114546556'}
[DEBUG] [2016-01-29 17:34:52][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='1220988181', data='-132897225'}
[DEBUG] [2016-01-29 17:34:52][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='678367994', data='-1114546556'}
[DEBUG] [2016-01-29 17:34:54][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='126870540', data='-690305475'}
[DEBUG] [2016-01-29 17:34:54][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='126870540', data='-690305475'}
[DEBUG] [2016-01-29 17:34:56][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='152628909', data='-258252268'}
[DEBUG] [2016-01-29 17:34:56][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='152628909', data='-258252268'}
[DEBUG] [2016-01-29 17:34:58][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='-1503618158', data='1262988589'}
[DEBUG] [2016-01-29 17:34:58][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='-810976548', data='649930350'}
[DEBUG] [2016-01-29 17:34:58][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='1790184883', data='-1746811755'}
[DEBUG] [2016-01-29 17:34:58][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-1503618158', data='1262988589'}
[DEBUG] [2016-01-29 17:34:58][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-810976548', data='649930350'}
[DEBUG] [2016-01-29 17:34:58][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='1790184883', data='-1746811755'}
[DEBUG] [2016-01-29 17:35:00][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='-230231929', data='-87074690'}
[DEBUG] [2016-01-29 17:35:00][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-230231929', data='-87074690'}
[DEBUG] [2016-01-29 17:35:01][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='2014563285', data='2102701432'}
[DEBUG] [2016-01-29 17:35:01][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='1476268926', data='322022225'}
[DEBUG] [2016-01-29 17:35:01][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='2014563285', data='2102701432'}
[DEBUG] [2016-01-29 17:35:01][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='1476268926', data='322022225'}
[DEBUG] [2016-01-29 17:35:02][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='-1872001617', data='-193080011'}
[DEBUG] [2016-01-29 17:35:02][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-1872001617', data='-193080011'}
[DEBUG] [2016-01-29 17:35:03][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='1048630722', data='1315493217'}
[DEBUG] [2016-01-29 17:35:03][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='1048630722', data='1315493217'}
[DEBUG] [2016-01-29 17:35:04][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='1071991694', data='713051618'}
[DEBUG] [2016-01-29 17:35:04][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='1071991694', data='713051618'}
[DEBUG] [2016-01-29 17:35:05][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='-260935336', data='-964210353'}
[DEBUG] [2016-01-29 17:35:05][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='428473396', data='-148619305'}
[DEBUG] [2016-01-29 17:35:05][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-260935336', data='-964210353'}
[DEBUG] [2016-01-29 17:35:05][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='-594988803', data='-2057419372'}
[DEBUG] [2016-01-29 17:35:05][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='-1410964599', data='1987168335'}
[DEBUG] [2016-01-29 17:35:05][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='428473396', data='-148619305'}
[DEBUG] [2016-01-29 17:35:05][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-594988803', data='-2057419372'}
[DEBUG] [2016-01-29 17:35:05][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-1410964599', data='1987168335'}
[DEBUG] [2016-01-29 17:35:07][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='-1887362904', data='1593875792'}
[DEBUG] [2016-01-29 17:35:07][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-1887362904', data='1593875792'}
[DEBUG] [2016-01-29 17:35:48][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='29623844', data='-1872220618'}
[DEBUG] [2016-01-29 17:35:50][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='1274641145', data='1615159246'}
[DEBUG] [2016-01-29 17:35:50][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-555669025', data='-1617945414'}
[DEBUG] [2016-01-29 17:35:52][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='872660234', data='-2136629480'}
[DEBUG] [2016-01-29 17:35:53][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-1371903632', data='-86226050'}
[DEBUG] [2016-01-29 17:35:53][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-404985318', data='-162962936'}
[DEBUG] [2016-01-29 17:35:53][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-1293969816', data='745599428'}
[DEBUG] [2016-01-29 17:35:55][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='1434705841', data='-2006088248'}
[DEBUG] [2016-01-29 17:35:56][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='2058707181', data='-1654119705'}
[DEBUG] [2016-01-29 17:35:56][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='1355364963', data='-228246186'}
[DEBUG] [2016-01-29 17:35:58][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='414718328', data='-118128250'}
[DEBUG] [2016-01-29 17:35:59][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-979516302', data='1678744497'}
[DEBUG] [2016-01-29 17:36:00][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-1255997599', data='2087347749'}
[DEBUG] [2016-01-29 17:36:00][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='1510501879', data='-244722604'}
[DEBUG] [2016-01-29 17:36:00][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-2005687671', data='-1302736106'}
[DEBUG] [2016-01-29 17:36:01][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-667423807', data='-1099835598'}
[DEBUG] [2016-01-29 17:36:01][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-1523136009', data='164018566'}
[DEBUG] [2016-01-29 17:36:02][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='1763400822', data='1962731400'}
